原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
'301176,17.69,匹配成功,301176,301176,逸豪新材,21.23,3.539999999999999,代码标准化匹配,20.01,3.54,158854.0,321928191.37,-582.63,2.34
'301208,43.33,匹配成功,301208,301208,中亦科技,44.35,1.0200000000000031,代码标准化匹配,2.35,1.02,86488.0,380951153.52,121.1,3.51
'301292,16.33,匹配成功,301292,301292,海科新源,15.93,0.3999999999999986,代码标准化匹配,-2.45,-0.4,41186.0,65585756.8,-80.29,1.25
'301380,50.8,匹配成功,301380,301380,挖金客,34.87,15.93,代码标准化匹配,0.23,0.08,36868.0,130238444.37,51.78,4.92
'301520,46.71,匹配成功,301520,301520,万邦医药,44.51,2.200000000000003,代码标准化匹配,-4.71,-2.2,25804.0,116572879.52,62.61,1.98
'600435,11.66,匹配成功,600435,600435,北方导航,11.76,0.09999999999999964,代码标准化匹配,0.86,0.1,177672.0,208456304.0,-264.74,6.41
'600458,12.79,匹配成功,600458,600458,时代新材,12.54,0.25,代码标准化匹配,-1.95,-0.25,36543.0,46058355.0,17.06,1.69
'600470,6.3,匹配成功,600470,600470,六国化工,6.08,0.21999999999999975,代码标准化匹配,-3.49,-0.22,188214.0,115485884.0,-11.88,1.8
'600549,21.06,匹配成功,600549,600549,厦门钨业,20.6,0.4599999999999973,代码标准化匹配,-2.18,-0.46,154778.0,320270146.0,20.91,2.01
'600775,10.65,匹配成功,600775,600775,南京熊猫,10.98,0.33000000000000007,代码标准化匹配,3.1,0.33,1013998.0,1127953190.0,-71.1,3.26
'600855,13.43,匹配成功,600855,600855,航天长峰,13.43,0.0,代码标准化匹配,0.0,0.0,279225.0,373883711.0,-36.73,4.02
'600875,16.85,匹配成功,600875,600875,东方电气,16.9,0.04999999999999716,代码标准化匹配,0.3,0.05,96652.0,163035368.0,12.41,1.3
'601059,16.74,匹配成功,601059,601059,信达证券,16.4,0.33999999999999986,代码标准化匹配,-2.03,-0.34,309159.0,508972360.0,64.92,2.78
'601555,8.74,匹配成功,601555,601555,东吴证券,8.55,0.1899999999999995,代码标准化匹配,-2.17,-0.19,285691.0,246441993.0,10.84,1.03
'601788,17.93,匹配成功,601788,601788,光大证券,17.57,0.35999999999999943,代码标准化匹配,-2.01,-0.36,189207.0,333840694.0,24.72,1.36
'601857,9.18,匹配成功,601857,601857,中国石油,9.19,0.009999999999999787,代码标准化匹配,0.11,0.01,765347.0,704041859.0,8.98,1.1
'601872,6.69,匹配成功,601872,601872,招商轮船,6.67,0.020000000000000462,代码标准化匹配,-0.3,-0.02,295188.0,197950714.0,15.56,1.37
'601916,3.44,匹配成功,601916,601916,浙商银行,3.45,0.010000000000000231,代码标准化匹配,0.29,0.01,996870.0,343584560.0,3.98,0.54
'601958,10.98,匹配成功,601958,601958,金钼股份,10.95,0.030000000000001137,代码标准化匹配,-0.27,-0.03,44922.0,49268778.0,13.03,1.99
'603069,19.49,匹配成功,603069,603069,海汽集团,20.82,1.3300000000000018,代码标准化匹配,6.82,1.33,121334.0,245655559.0,-84.27,8.32
'603097,23.62,匹配成功,603097,603097,江苏华辰,23.59,0.030000000000001137,代码标准化匹配,-0.13,-0.03,33009.0,78420076.0,46.92,3.83
'603215,19.22,匹配成功,603215,603215,比依股份,21.14,1.9200000000000017,代码标准化匹配,9.99,1.92,267193.0,544623755.0,66.17,3.5
'603232,15.46,匹配成功,603232,603232,格尔软件,15.4,0.0600000000000005,代码标准化匹配,-0.39,-0.06,90042.0,138962200.0,-18.1,2.65
'603722,43.2,匹配成功,603722,603722,阿科力,43.36,0.1599999999999966,代码标准化匹配,0.37,0.16,5032.0,21728076.0,-214.96,4.53
'605056,15.37,匹配成功,605056,605056,咸亨国际,15.06,0.3099999999999987,代码标准化匹配,-2.02,-0.31,27118.0,41111832.0,71.62,3.91
'688143,34.89,匹配成功,688143,688143,长盈通,35.48,0.5899999999999963,代码标准化匹配,1.69,0.59,15666.0,55148667.0,131.16,3.68
'688151,19.56,匹配成功,688151,688151,华强科技,20.96,1.4000000000000021,代码标准化匹配,7.16,1.4,95405.0,194934917.0,958.61,1.72
'688498,154.98,匹配成功,688498,688498,源杰科技,159.25,4.27000000000001,代码标准化匹配,2.76,4.27,15762.0,249459500.0,238.95,6.53
