原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
'601958,10.98,匹配成功,601958,601958,金钼股份,10.99,0.009999999999999787,代码标准化匹配,0.09,0.01,,,13.08,2.0
'603069,19.49,匹配成功,603069,603069,海汽集团,19.49,0.0,代码标准化匹配,0.0,0.0,,,-78.89,7.79
'603097,23.62,匹配成功,603097,603097,江苏华辰,24.49,0.8699999999999974,代码标准化匹配,3.68,0.87,,,48.71,3.97
'603215,19.22,匹配成功,603215,603215,比依股份,21.14,1.9200000000000017,代码标准化匹配,9.99,1.92,,,66.17,3.5
'603232,15.46,匹配成功,603232,603232,格尔软件,15.46,0.0,代码标准化匹配,0.0,0.0,,,-18.17,2.67
'603722,43.2,匹配成功,603722,603722,阿科力,,,代码标准化匹配,,,,,-214.17,4.51
'605056,15.37,匹配成功,605056,605056,咸亨国际,15.53,0.16000000000000014,代码标准化匹配,1.04,0.16,,,73.86,4.04
'688143,34.89,匹配成功,688143,688143,长盈通,34.55,0.3400000000000034,代码标准化匹配,-0.97,-0.34,,,127.72,3.58
'688151,19.56,匹配成功,688151,688151,华强科技,19.95,0.39000000000000057,代码标准化匹配,1.99,0.39,,,912.42,1.64
'688498,154.98,匹配成功,688498,688498,源杰科技,,,代码标准化匹配,,,,,232.54,6.36
